"Tag","Text"
"p","We strive to strengthen further our research programs as well our relationship with industry by supporting our faculty and students to work on sponsored research and industrial projects and consultancy. We encourage collaborative programs, which enhance interaction of our faculty and students with industry."
"p","Sponsored projects, In-house projects, consultancy and collaborations with industry and academia are important modes through which our faculty and students contribute towards knowledge and technology. Our institute provides financial assistance to its faculty and students to present the outcome of their research projects in national and international conferences in India and abroad. Our faculty engaged in helping society offers short term courses as well training programs for industry, institutes and organizations. Office of Dean Sponsored Research & Industrial Consultancy provides administrative and managerial support for the operation of Sponsored research, In-house Projects, Consultancy and other activities of the institute. It promotes and manages Institute-Industry interaction and provides helping hand in establishing collaborative programmes of interest to Institute and Industry. Faculty and students are encouraged to take up hands on industrial problems as consultancy projects to enrich their problem solving skills."
"p","The institute website provides information on its resources and activities. It is an opportune moment to invite potential Industries and other academic and research organizations to explore their relation with Punjab Engineering College (Deemed to be University), Chandigarh."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 42","https://pec.ac.in/research-groups"
"Title ","Research Groups | Punjab Engineering College"
"p","Quick Links"
"p","Research programs concern work undertaken by faculty members or specific research groups within various Engineering and Applied Sciences. Research is carried out by scholars admitted into these departmental Programmes, under the guidance of their faculty. Current research activity of the institute is focused mainly on the following thrust area."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 43","https://pec.ac.in/sponsored-research"
"Title ","Sponsored Research | Punjab Engineering College"
"p","Quick Links"
"p","The institute encourages its faculty to undertake research in the field of science and technology through sponsored projects. At present faculty along with research scholars and research fellows are engaged in sponsored project of 2 to 5 years duration funded by Government agencies. Some of them are Department of Science and Technology, Department of Information Technology, Indo-French Centre for the Promotion of Advanced Research, CSIR, AICTE, SASE and Chandigarh Administration."
"p","Some of the ongoing and recently completed projects are:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 44","https://pec.ac.in/house-projects"
"Title ","In-House Projects | Punjab Engineering College"
"p","Quick Links"
"p","PEC University of Technology encourages its faculty to undertake in-house research projects by providing them internal funding for creation/enhancement of facility, which is useful to research students (M. Tech & PhD) as well as to the needs of the industry."
"p","In-house Projects Status:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 45","https://pec.ac.in/consultancy"
"Title ","Consultancy | Punjab Engineering College"
"p","Quick Links"
"p","The faculty at PEC University of Technology has expertise in various research areas of interest to the industry. The institute encourages its faculty to undertake consultancy work through which the faculty contributes toward the industrial growth, strengthen institute-industry interface and enrich their professional experience. The Research Planning and Development acts as a liaison between the institute and industry/ government bodies to undertake projects with specific problem, which are generally of short duration. Some of the Industries are Philips, Luminous, Metelex."
"p","Broadly the following types of consultancy services being offered is given below:"
"p","Anybody from Industry/ External Agency can contact the Institute to solve problems in almost every discipline of engineering, technology and science. The Institute through its faculty can handle such external requests of the industry/ agency that can come under the term consultancy in its broader sense."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 46","https://pec.ac.in/courses-and-conferences"
"Title ","Courses and Conferences | Punjab Engineering College"
"p","Quick Links"
"p","Courses"
"p","S.No"
"p","Name of Course"
"p","Name of the Coordinator"
"p","Deptt."
"p","Duration"
"p","Six Sigma & Research Methodology"
"p","Prof. P. S. Satsangi"
"p","Mechanical"
"p","20/12/2010 to 24/12/2010"
"p","Design of Embedded Systems"
"p","Prof. Neelu Jain"
"p","E&EC"
"p","4/6/2010 to"
"p","5/6/2010"
"p","Refresher Course in “Mechanical Engineering”"
"p","Prof. Sushant Samir"
"p","Mechanical"
"p","29/12/2011 to"
"p","11/01/2012"
"p","Flights Mechanics & Recent Developments"
"p","Prof. Rakesh Kumar"
"p","Aeronautical"
"p","3/12/2012 to 07/12/2012"
"p","Faculty Development progremme with INFOSYS"
"p","Prof. Sanjeev Sofat"
"p","CS&E"
"p","12/9/2012 to"
"p","14/9/2012"
"p","Short Term Course on Applications of PLC in Mechatronics"
"p","Prof. Balwinder Singh"
"p","Electrical"
"p","7/1/2013 to 11/1/2013"
"p","Industry –Institute interaction on CSE Programming"
"p","( E-Waste Management)"
"p","Porf. Sanjeev Sofat"
"p","CS&E"
"p","Value Engineering Module - 1"
"p","Prof. R.M Belokar"
"p","Production"
"p","14/07/2014 to 18/07/2014"
"p","Workshop"
"p","S.No"
"p","Name of Workshop"
"p","Name of the Coordinator"
"p","Deptt."
"p","Duration"
"p","Advance Techniques for Material Characterization"
"p","Prof. Uma Batra"
"p","Metallurgy"
"p","06/11/2012"
"p","One Workshop on Enhancement of R&D Activities"
"p","Prof. P.S Satsangi"
"p","Aeronautical"
"p","30/11/2012"
"p","The role & importance of basic sciences and humanities in U.G Engg. programe & revision of existing curriculum"
"p","Prof. Sucheta"
"p","Applied Science"
"p","23/03/2013"
"p","Design and Simulation of Photonic Communication System"
"p","Prof. Neelam R. Prakash"
"p","Prof. Neena Gupta"
"p","E&EC"
"p","25/01/2013"
"p","Photonics System and Network Design"
"p","Prof. Neelam R. Prakash"
"p","Prof. Neena Gupta"
"p","E&EC"
"p","06/02/2013"
"p","Recent Trends in Renewal Energy Sources"
"p","Prof. Tarlochan kaur"
"p","Electrical"
"p","13/03/2013"
"p","Quality Management System in Tube Manufacturing"
"p","Prof. Uma Batra"
"p","Metallurgy"
"p","08/03/2013"
"p","Development in Renewal Energy Sources"
"p","Prof. Balwinder Singh"
"p","Electrical"
"p","27/02/2013 to 01/03/2013"
"p","Conference"
"p","S. No"
"p","Name of Conference"
"p","Name of the Coordinator"
"p","Deptt."
"p","Duration"
"p","Half Day Round Table Conference with DIT “Critical Information Infrastructure Protection – Towards a Cyber Safe City”"
"p","Prof. Sanjeev Sofat"
"p","CSE"
"p","28/08/2012"
"p","National Conference on “Recent Advances in power System (RARS - 2014)"
"p","Prof. Balwinder Singh"
"p","Electrical"
"p","28/06/2014"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 47","https://pec.ac.in/yrf/about-programme"
"Title ","About the Programme | Punjab Engineering College"
"p","Quick Links"
"p","The mission of this program is to provide undergraduates at PEC University of Technology opportunities to conduct research with a focus on innovation and venturing."
"p","The program allows carrying out research in any discipline, working with any faculty or research scholar across departments and centers of excellence so as to encourage undergraduates to look for opportunities beyond their own discipline. Cross functional research projects are encouraged in this program."
"p","In addition to working on a research project with faculty or research scholars, undergraduates may get an opportunity for presenting in a conference, or writing for the Undergraduate Science Journal, so that they become a key part of research being conducted at PEC University of Technology."
"p","The objective of this program is to enhance innovation quotient of PEC University of technology by:"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Young Research Fellows Programme"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 48","https://pec.ac.in/norms-and-forms"
"Title ","Norms and Forms | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 49","https://pec.ac.in/research/contacts"
"Title ","Contacts | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Research & Consultancy"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 50","https://pec.ac.in/campus-life"
"Title ","Campus Life | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Students"
"h3","Facilities"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"
"h4","Students"
"h4","Facilities"

"For url: 51","https://pec.ac.in/current-students"
"Title ","Students | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Students"
"h3","Technical Societes"
"h3","Cultural Clubs"
"h3","Recent Events"
"h3","Recent Achievements"
"h3","Forms"
"h3","Time Tables"
"h3","Examination"
"h3","Financial Assistance"
"h3","Contact Us"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 52","https://pec.ac.in/facilities"
"Title ","Facilities | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Facilities"
"h3","Institute"
"h3","Library"
"h3","Computer Centre"
"h3","Sports"
"h3","Hostels"
"h3","Medical Facilities"
"h3","Workshops"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 53","https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech"
"Title ","MoU signed between PEC and Bansal EnviroTech | Punjab Engineering College"
"p","Quick Links"
"p","The Memorandum of Understanding was signed between Punjab Engineering College (Deemed to be University) and Bansal EnviroTech today i.e. March 4, 2020. Bansal EnviroTech is a start up that has undertaken ventures for providing waste management solutions for Industries and aspire to serve as a premier organisation for waste management and environmental solutions;"
"p","MoU between both the organisations has been signed recognising the importance of research and development in the areas of Environmental Engineering and Civil Engineering, as well as offering industrial exposure to academic institutions; and both collectively feel the need for creation of large reservoir of highly qualified and skilled human resources in all fields related to Environmental Engineering and Civil Engineering; Under this collaboration it is envisaged to exchange of personnel, through deputation or any other means, as per the rules of the respective Parties, for limited periods as mutually agreed upon; organisation of joint conferences, talks and seminars; imparting practical training of PEC students at operational sites and offices of Bansal EnviroTech; extending guidance by Bansal EnviroTech of students and researchers for projects, theses or dissertations under the fields of Engineering and other areas of interest on mutually agreeable terms; PEC faculty member/s, will be providing assistance for the purpose of design vetting, introduction of technology, improvement of technology, conceptual research, amongst other as remains within the ambit of study of PEC; or mutually agreed terms and conditions on case to case basis and several other research and consulting based activities."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","MoU signed between PEC and Bansal EnviroTech"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 54","https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl"
"Title ","MoU signed between PEC and KISCO India Private Limited (KIPL) | Punjab Engineering College"
"p","Quick Links"
"p","The Memorandum of Understanding was signed between Punjab Engineering College (Deemed to be University) and KISCO India Private Limited (KIPL) today i.e. March 4, 2020. Mr. Rohit Khanna, Managing Director of KISCO India Private Limited (KIPL) under CSR Initiative established the scholarship for needy students of PEC who are financially unde privileged. The scholarship has been designed for a student to assist their family financially to pay the fees of the student during his/ her graduation from PEC. This scholarship is an attempt to help all such students to fulfil their dreams for them and the company will become the driving force for you to graduate from college. The company will remit the scholarship money to the PEC authorities on semester basis, which includes their tuition fees, Hostel Fees and all other misc. fees subject to maximum capping. Three students will be sponsored on the basis of predefined criteria and these students will be considered annually. PEC would match all scholarships initially and for all 3 selected students."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","MoU signed between PEC and KISCO India Private Limited (KIPL)"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 55","https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet"
"Title ","Homecoming 2020: First Annual Alumni Meet | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University), Chandigarh proudly hosted its first annual Alumni Meet ‘Homecoming 2020’ with much grandeur and vibrance. 15th February 2020 finally commenced after weeks of hard-work and the day dawned with over hundreds of alumni of various batches starting from 1943, all meeting each other from various spheres of the globe, coming together with the same enthusiasm they shared during their college days. The batches of 1960,1970,1985,1995 and 2005 were felicitated on the occasion of completing their Diamond, Golden, Coral, Silver and Crystal Jubilees respectively. The college ground was lit up with lights and décor as it welcomed back its students from the past years. This day will be marked in history as a remarkable day not just for the alumni but everyone present there, including the faculty and the currently enrolled students. There was an abundance of smiles, laughter, nostalgic stories and memories being spread around in the air. Homecoming 2020 offers the road down memory lane and a path to creating new ones."
"p","As every auspicious ceremony should begin, this event began with the lighting of the lamp. Following this, Dean Alumni, Corporate and International Relations, Dr. Divya Bansal in her address informed how within five weeks the event was pulled off and total registrations with families had exceeded 1000. She also shed some light on how the engagement with the alumni had tremendously improved in the last three months with all possible communication media used to reach the alumni world over including Facebook, linked in, emails, phones calls, WhatsApp. As a result alumni from all over the world including Malaysia, Australia, US, Nepal, Canada, London attended the event. The Director of the institute, Dr. Dheeraj Sanghi, who had joined the college last year and has made immense improvements within the span of a year, also addressed the crowd. PEC celebrated and cherished 4 of its distinguished alumni by presenting them with an award. Amongst them were Mr.Sandeep Bakhshi (Director and CEO of ICICI Bank for the past 32 years, who has handled various assignments across the group in ICICI Limited, ICICI Lombard General Insurance, ICICI Bank and ICICI Prudential Life Insurance and graduated PEC in 1982) whose presence we missed, Mr. Sanjeev Aggarwal (Founder and CEO of Daksh, rated as the World's Best Managed BPO Company (Black Book of Outsourcing) and was ranked as the #1 employer in Indian BPO market by IDC. He was chosen ""Ernst & Young Entrepreneur of the year"" in 2002), Mr. Sanjay Bhatia (Chairman, Mumbai Port Trust. Before that he was working as Vice Chairman and Managing Director of City & Industrial Development Corporation of Maharashtra Ltd (CIDCO). He graduated PEC in 1982), Mr. Yogesh Lohiya (He is a 1973 graduate in Production Engineering. He was Chairman cum Managing Director of General Insurance Corporation (GIC) of India from 2007 to 2011. He was also MD and CEO of Iffco Tokio General Insurance Ltd from 2013 to 2017)."
"p","To make the ceremony more personal, representatives from each Jubilee were called upon stage to share their views about the college, their batch mates and any advice they had to offer to the younglings present in the venue."
"p","Punjab Engineering College welcomed with open arms, Bikram Singh Garewal, the college’s oldest alum. Having graduated in 1943, this imminent personality is a mighty 97-year-old humble man who achieved great feats in life. He served as the Chief Engineer of Patiala from 1971 till his retirement in 1981. Originating from Lahore, he was more than happy to celebrate his birthday today amongst his juniors of various generations in the college where he studied as a young lad."
"p","Following a quick but delicious entrée of dishes, the alumni members along with their families were invited to participate in fun activities which included kite flying, musical chair, tug of war, football and various other leisure activities. With the air filled with music and food in the corner, people were excited to come forward to dance and enjoy the moment. Photographs were taken as the proud winners of the games stood to collect their prizes."
"p","Nukkad Nattak was performed by the students of Dramatics Club outside the auditorium soon after the fun activities. The hungry crowd soon left for a hearty lunch in the football ground. As the sun beat down on PEC on this mildly cold February day, there were only stories to pass around and nostalgic memories lingering in the atmosphere. When asked around to various alumni members of ranging years, there were many special stories and interesting facts being told around. From having just 3 branches (mechanical, civil and electrical), the college has indeed come a long way by now accommodating 8 branches. They were all pleased to see the new changes being brought about in the college whilst keeping the old infrastructure intact."
"p","By late noon, the alumni members were shown around the college for their respective branch tour. Just as the new students being enrolled into the college are taken around the various departments, the alumni were too, but this time, each place held a special memory for them. There was also a panel discussion being held in the senate hall regarding a very important topic-How the alumni of Punjab engineering College could strengthen their network. Shortly after, to conclude this wonderful day, a gala dinner was hosted at the football ground. With a brief and touching vote of thanks, the night led to a fest of songs and bhangra performances by the students. Not only this, but the college's talented alumni also took to the stage to enthral us with their talents. To name a few, Mr. Tejinder Singh Bedi, a 1973 Electrical Engineering graduate, a very illustrious singer, known for singing with the great Jagjit Singh entertained the whole crowd with his performance. He has a musical group of his own called the Bedi’s Musical Group, the latest event they presented was a tribute to Late Jagjit Singh on 7th February 2020. Along with this, Mr. MK Nanda, a 1969 graduate proved that age is anything but a number by showcasing his bhangra skills."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","Homecoming 2020: First Annual Alumni Meet"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 56","https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec"
"Title ","Siemens Center of Excellence inaugurated at PEC | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) in collaboration with M/s Siemens Industry software (India) Pvt. Limited (SISW) and its partner M/s MTAB Technology Center Private limited (MTC) established a Center of Excellence (CoE) at PEC."
"p","Shri. V.P. Singh Badnore, Governor of Punjab and the Administrator U.T. Chandigarh and Smt Kirron Kher, MP Chandigarh inaugurated the centre on 17th December in the presence of Mr. Matthew Thomas, Country Head Siemens, Shri Rajinder Gupta, Chairman BoG PEC, Dr Dheeraj Sanghi, Director of PEC and other esteemed government officials."
"p","This world-class skill development center is dedicated to the area of automation, energy and manufacturing and has state of the art facilities and covers a total area of 1600 square feet. The idea originated from the need to align engineering education with the latest industry trends and practices, better vocational training and interaction with industry, upgradation of tools, laboratories and faculty skills as well as inclusion of latest engineering concepts into academic curriculum structure."
"p","In his welcome address, Dr Dheeraj Sanghi thanked the guests for gracing the occasion and highlighted the benefits of the new facility for the students, faculty and industry. He proudly presented this center of excellence as an instrument to upgrade the present curriculum with the latest technology."
"p","Mr Matthew Thomas, Country head, Siemens substantiated on the importance of the Center of Excellence and said that it will create an ecosystem of innovation and add to the hub for research and academia partnerships. In the world where lines between all fields of engineering are blurring, it will close the skill gap."
"p","Governor of Chandigarh, V.P. Singh Badnore applauded PEC for not only its historic contribution towards the technological development of the region but also its wonderful alum base who has been excelling in various spheres. He also appreciated the faculty and administration for various new initiatives and promised to extend all the support required to convert PEC into a centrally funded institute. He encouraged the college to strengthen its connect with the alumni network and seek support from them through various programmes."
"p","He is confident that the college, which has been one of the oldest and finest institutes in the country with a proud legacy of nearly 100 years, is currently in great hands which will lead the institute to a bright future."
"p","Features of the Center Of Excellence:"
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","Siemens Center of Excellence inaugurated at PEC"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 57","https://pec.ac.in/donations/distinguished-alumnus-award"
"Title ","Distinguished Alumnus Award | Punjab Engineering College (Deemed to be University), Chandigarh"
"p","The true measure of a contribution of an institution to the society and nation is the achievements of its alumni. PEC is globally known to develop leaders in Technology, Entrepreneurial endeavour and for the service to the society. A large number of alumni have gained unique distinction through success in their professions, contribution to their communities and their services to the globe. The University has instituted Distinguished Alumnus Award and Young Alumnus Award to recognize and honour outstanding alumnus/alumna."
"p","Nominees must have graduated from PEC. A graduate (alumnus) of PEC is defined as an individual who has completed and been awarded one or more degrees from the Institute."
"p","Nominations for consideration of ‘Distinguished Alumni Awards’ and ‘Young Alumnus Award’ may be invited from all over the world and any PEC alumnus can make nomination for consideration. Self nominations are discouraged."
"p","Young Alumnus Award will be for alumnus under the age of 40 (as on 30th September 2020) for achieving excellence in early stages of their career."
"p","The awards can be applied in any of the below mentioned categories:"
"p","Nominations for the awards shall be invited from anybody including students, alumni, faculty, and staff of the institute. Nomination is a simple online process and is expected to take only a few minutes of time by clicking on the link below. It involves providing some basic information and uploading a CV of the nominee that highlights all her/his achievements that may make her/him a deserving recipient of the award."
"p","The person nominating must, therefore, first prepare this document for uploading that amply showcases the achievements of the alumnus with relevant detail before starting the nomination process by clicking on the link."
"p","The process of inviting nominations of ‘Distinguished Alumnus Award and Young Alumnus Award’ for the year 2020 is now open."
"p","If you have any queries, please contact the Dean Alumni, Corporate and International Relations at 0172-2753244 or email to deanalumni@pec.edu.in"
"p","The nomination process closes on 30th September 2020."
"p","The nominations received will be processed by the Dean’s Alumni office and then an empowered committee comprising eminent representatives from the stake holders of the institute would prepare the final list of awardees."
"p","The award includes a citation, a Medal and a Certificate. The award will be announced on the Annual Foundation Day celebration of the Institute and the award ceremony will be held whenever the Covid situation would allow us."
"p","We do understand the time constraints you work under. Keeping this in mind we have kept the nomination form as simple as possible to enable you to fill and “Submit” it in a single sitting. This should not take more than 15 minutes of your time. Kindly ensure that you enter your current email address correctly."
"p","Click Here for Nomination Form"
"h1","Distinguished Alumnus Award"
"h4","Nominations for"
"h4","Distinguished Alumnus Award and Young Alumnus Award 2020"

"For url: 58","https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020"
"Title ","Oldest Alum in attendance at Homecoming: 2020 | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (deemed to be university) welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet of the college, today. Having served as the Chief Engineer of Patiala from 1971 till his retirement in 1981, Mr. Bikram has been a name to be reckoned with in the Punjab Public Works Department."
"p","After graduating from Punjab Engineering College formerly known as Mugalpura Engineering College, Lahore, in 1943,Mr.Bikram has gone on to achieve many great feats in life, including working in various capacities at the engineering sub-division. Homecoming 2020, served an opportunity for the 97 year old to celebrate his birthday today with his juniors and reminisce about his time here, marking the glorious transition of PEC from its humble origins in Lahore into newer times."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","Oldest Alum in attendance at Homecoming: 2020"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 59","https://pec.ac.in/events/mou-signed-between-pec-and-peda"
"Title ","MOU Signed Between PEC and PEDA | Punjab Engineering College"
"p","Quick Links"
"p","A Memorandum of Understanding was signed between Punjab Engineering College (Deemed to be University), Chandigarh and Punjab Energy Development Agency (PEDA) for Research and Development Projects on Energy Conservation & Energy Efficiency under “State Energy Efficiency Research & Outreach programme” of Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","The MOU was signed by Dr. Dheeraj Sanghi , Director, PEC and Sh. Navjot Pal Singh Randhawa, IAS, Chief Executive,PEDA/MD,PGL today, on 19 December 2019 at the Office of Punjab Energy Development Agency ,Chandigarh, in the presence of Sh. M.P. Singh, General Manager,PEDA, Dr. Tarlochan Kaur , Chairperson , Center for Energy Studies, PEC; Dr. J D Sharma , Assoc. Dean, Alumni & International Affairs PEC and Sh. Balkar Singh, Assistant General Manager PEDA ,"
"p","The mission objective of this MOU is to work on research on innovative projects in the field of energy conservation/efficiency like Energy Modelling and Simulation, Monitoring and benchmarking of buildings, Net Zero energy buildings. Research and development of energy efficient technologies in industries, technology upgradation to optimise power consumption and research on energy management and its implementation in various thrust areas are its extended objectives."
"p","It is further agreed that Punjab Engineering College will submit R&D proposal on energy conservation and efficiency to PEDA which, after review will be submitted to BEE for approval. The financial assistance/funding of the proposal, once approved, shall be provided by BEE to PEDA which shall further disburse it to the institute as per its guidelines."
"p","The role of the institute is to publicise the program locally, ensure adequate participation, provide strategic research support and direction for the development of R&D projects. The institute will further facilitate PEDA interaction through involvement of researchers through Research institutes/laboratories; and joint hosting of Conferences, Training Courses/workshops."
"p","The MOU that was signed today will mark the beginning of what is hoped will be a long and fruitful collaboration, for promoting energy efficiency and energy conservation and bridge the gap between theory and field through technical inputs at onsite locations."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Happenings"
"h3","Institute"
"h3","MOU Signed Between PEC and PEDA"
"h3","Top Stories"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 60","https://pec.ac.in/events/98th-foundation-day"
"Title ","98th Foundation Day | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college, which started with a lamp lightning ceremony. Chief guest Director, PEC, Dr. Dheeraj Sanghi, ex-Directors Vijay Gupta and Manoj Datta shared the podium with Dr. Divya Bansal. The Chief Guests also included Dr. Siby John (Deputy Director) and Dr. Sushant Samir (Registrar)."
